trip_id,start_time,end_time,headway_secs,exact_times
47,06:00:00,24:00:00,16200,1
48,06:00:00,24:00:00,16200,1
49,06:00:00,24:00:00,32400,1
4a,06:00:00,24:00:00,16200,1
4b,06:00:00,24:00:00,8100,1
4c,06:00:00,24:00:00,16200,1
4d,06:00:00,24:00:00,8100,1
4e,06:00:00,24:00:00,16200,1
4f,06:00:00,24:00:00,16200,1
4g,06:00:00,24:00:00,16200,1
4h,06:00:00,24:00:00,16200,1
4i,06:00:00,24:00:00,16200,1
4j,06:00:00,24:00:00,16200,1
4k,06:00:00,24:00:00,16200,1
4l,06:00:00,24:00:00,16200,1
4m,06:00:00,24:00:00,32400,1
4n,06:00:00,24:00:00,16200,1
4o,06:00:00,24:00:00,16200,1
4p,06:00:00,24:00:00,8100,1
4q,06:00:00,24:00:00,16200,1
4r,06:00:00,24:00:00,8100,1
4s,06:00:00,24:00:00,16200,1
4t,06:00:00,24:00:00,16200,1
4u,06:00:00,24:00:00,16200,1
4v,06:00:00,24:00:00,16200,1
4w,06:00:00,24:00:00,16200,1
4x,06:00:00,24:00:00,16200,1
4y,06:00:00,24:00:00,8100,1
4z,06:00:00,24:00:00,16200,1
5,06:00:00,24:00:00,32400,1
50,06:00:00,24:00:00,16200,1
51,06:00:00,24:00:00,8100,1
52,06:00:00,24:00:00,16200,1
53,06:00:00,24:00:00,16200,1
54,06:00:00,24:00:00,8100,1
55,06:00:00,24:00:00,16200,1
56,06:00:00,24:00:00,32400,1
57,06:00:00,24:00:00,16200,1
58,06:00:00,24:00:00,32400,1
59,06:00:00,24:00:00,16200,1
5a,06:00:00,24:00:00,16200,1
5b,06:00:00,24:00:00,16200,1
5c,06:00:00,24:00:00,8100,1
5d,06:00:00,24:00:00,16200,1
5e,06:00:00,24:00:00,16200,1
5f,06:00:00,24:00:00,16200,1
5g,06:00:00,24:00:00,32400,1
5h,06:00:00,24:00:00,32400,1
5i,06:00:00,24:00:00,16200,1
5j,06:00:00,24:00:00,8100,1
5k,06:00:00,24:00:00,32400,1
5l,06:00:00,24:00:00,8100,1
5m,06:00:00,24:00:00,16200,1
5n,06:00:00,24:00:00,32400,1
5o,06:00:00,24:00:00,32400,1
5p,06:00:00,24:00:00,8100,1
5q,06:00:00,24:00:00,16200,1
5r,06:00:00,24:00:00,16200,1
5s,06:00:00,24:00:00,16200,1
5t,06:00:00,24:00:00,8100,1
5u,06:00:00,24:00:00,16200,1
5v,06:00:00,24:00:00,16200,1
5w,06:00:00,24:00:00,16200,1
5x,06:00:00,24:00:00,16200,1
5y,06:00:00,24:00:00,8100,1
5z,06:00:00,24:00:00,16200,1
6,06:00:00,24:00:00,32400,1
60,06:00:00,24:00:00,16200,1
61,06:00:00,24:00:00,16200,1
62,06:00:00,24:00:00,16200,1
63,06:00:00,24:00:00,16200,1
64,06:00:00,24:00:00,32400,1
65,06:00:00,24:00:00,8100,1
66,06:00:00,24:00:00,8100,1
67,06:00:00,24:00:00,32400,1
68,06:00:00,24:00:00,8100,1
69,06:00:00,24:00:00,8100,1
6a,06:00:00,24:00:00,16200,1
6b,06:00:00,24:00:00,16200,1
6c,06:00:00,24:00:00,16200,1
6d,06:00:00,24:00:00,16200,1
6e,06:00:00,24:00:00,16200,1
6f,06:00:00,24:00:00,16200,1
6g,06:00:00,24:00:00,16200,1
6h,06:00:00,24:00:00,16200,1
6i,06:00:00,24:00:00,8100,1
6j,06:00:00,24:00:00,8100,1
6k,06:00:00,24:00:00,32400,1
6l,06:00:00,24:00:00,32400,1
6m,06:00:00,24:00:00,16200,1
6n,06:00:00,24:00:00,16200,1
6o,06:00:00,24:00:00,16200,1
6p,06:00:00,24:00:00,16200,1
6q,06:00:00,24:00:00,16200,1
6r,06:00:00,24:00:00,16200,1
6s,06:00:00,24:00:00,32400,1
6t,06:00:00,24:00:00,16200,1
6u,06:00:00,24:00:00,8100,1
6v,06:00:00,24:00:00,16200,1
6w,06:00:00,24:00:00,16200,1
6x,06:00:00,24:00:00,16200,1
6y,06:00:00,24:00:00,16200,1
6z,06:00:00,24:00:00,8100,1
7,06:00:00,24:00:00,16200,1
70,06:00:00,24:00:00,32400,1
71,06:00:00,24:00:00,32400,1
72,06:00:00,24:00:00,8100,1
73,06:00:00,24:00:00,16200,1
74,06:00:00,24:00:00,16200,1
75,06:00:00,24:00:00,8100,1
76,06:00:00,24:00:00,16200,1
77,06:00:00,24:00:00,16200,1
78,06:00:00,24:00:00,8100,1
79,06:00:00,24:00:00,16200,1
7a,06:00:00,24:00:00,16200,1
7b,06:00:00,24:00:00,16200,1
7c,06:00:00,24:00:00,16200,1
7d,06:00:00,24:00:00,8100,1
7e,06:00:00,24:00:00,16200,1
7f,06:00:00,24:00:00,16200,1
7g,06:00:00,24:00:00,16200,1
7h,06:00:00,24:00:00,16200,1
7i,06:00:00,24:00:00,32400,1
7j,06:00:00,24:00:00,8100,1
7k,06:00:00,24:00:00,16200,1
7l,06:00:00,24:00:00,16200,1
7m,06:00:00,24:00:00,16200,1
7n,06:00:00,24:00:00,8100,1
7o,06:00:00,24:00:00,16200,1
7p,06:00:00,24:00:00,16200,1
7q,06:00:00,24:00:00,16200,1
7r,06:00:00,24:00:00,16200,1
7s,06:00:00,24:00:00,8100,1
7t,06:00:00,24:00:00,8100,1
7u,06:00:00,24:00:00,16200,1
7v,06:00:00,24:00:00,16200,1
7w,06:00:00,24:00:00,16200,1
7x,06:00:00,24:00:00,16200,1
7y,06:00:00,24:00:00,8100,1
7z,06:00:00,24:00:00,8100,1
8,06:00:00,24:00:00,16200,1
80,06:00:00,24:00:00,16200,1
81,06:00:00,24:00:00,16200,1
82,06:00:00,24:00:00,16200,1
83,06:00:00,24:00:00,8100,1
84,06:00:00,24:00:00,16200,1
85,06:00:00,24:00:00,16200,1
86,06:00:00,24:00:00,16200,1
87,06:00:00,24:00:00,16200,1
88,06:00:00,24:00:00,16200,1
89,06:00:00,24:00:00,8100,1
8a,06:00:00,24:00:00,16200,1
8b,06:00:00,24:00:00,8100,1
8c,06:00:00,24:00:00,16200,1
8d,06:00:00,24:00:00,8100,1
8e,06:00:00,24:00:00,16200,1
8f,06:00:00,24:00:00,16200,1
8g,06:00:00,24:00:00,16200,1
8h,06:00:00,24:00:00,16200,1
8i,06:00:00,24:00:00,16200,1
8j,06:00:00,24:00:00,16200,1
8k,06:00:00,24:00:00,16200,1
8l,06:00:00,24:00:00,8100,1
8m,06:00:00,24:00:00,16200,1
8n,06:00:00,24:00:00,16200,1
8o,06:00:00,24:00:00,16200,1
8p,06:00:00,24:00:00,16200,1
8q,06:00:00,24:00:00,16200,1
8r,06:00:00,24:00:00,16200,1
8s,06:00:00,24:00:00,16200,1
8t,06:00:00,24:00:00,16200,1
8u,06:00:00,24:00:00,16200,1
8v,06:00:00,24:00:00,16200,1
8w,06:00:00,24:00:00,16200,1
8x,06:00:00,24:00:00,16200,1
8y,06:00:00,24:00:00,16200,1
8z,06:00:00,24:00:00,16200,1
9,06:00:00,24:00:00,16200,1
90,06:00:00,24:00:00,8100,1
91,06:00:00,24:00:00,16200,1
92,06:00:00,24:00:00,8100,1
93,06:00:00,24:00:00,16200,1
94,06:00:00,24:00:00,16200,1
95,06:00:00,24:00:00,8100,1
96,06:00:00,24:00:00,16200,1
97,06:00:00,24:00:00,16200,1
98,06:00:00,24:00:00,16200,1
99,06:00:00,24:00:00,16200,1
9a,06:00:00,24:00:00,16200,1
9b,06:00:00,24:00:00,8100,1
9c,06:00:00,24:00:00,16200,1
9d,06:00:00,24:00:00,16200,1
9e,06:00:00,24:00:00,32400,1
9f,06:00:00,24:00:00,16200,1
9g,06:00:00,24:00:00,16200,1
9h,06:00:00,24:00:00,32400,1
9i,06:00:00,24:00:00,32400,1
9j,06:00:00,24:00:00,16200,1
9k,06:00:00,24:00:00,16200,1
9l,06:00:00,24:00:00,16200,1
9m,06:00:00,24:00:00,16200,1
9n,06:00:00,24:00:00,16200,1
9o,06:00:00,24:00:00,16200,1
9p,06:00:00,24:00:00,32400,1
9q,06:00:00,24:00:00,16200,1
9r,06:00:00,24:00:00,8100,1
9s,06:00:00,24:00:00,16200,1
9t,06:00:00,24:00:00,16200,1
9u,06:00:00,24:00:00,16200,1
9v,06:00:00,24:00:00,16200,1
9w,06:00:00,24:00:00,8100,1
9x,06:00:00,24:00:00,8100,1
9y,06:00:00,24:00:00,32400,1
9z,06:00:00,24:00:00,16200,1
a,06:00:00,24:00:00,16200,1
a0,06:00:00,24:00:00,16200,1
a1,06:00:00,24:00:00,16200,1
a2,06:00:00,24:00:00,32400,1
a3,06:00:00,24:00:00,16200,1
a4,06:00:00,24:00:00,16200,1
a5,06:00:00,24:00:00,32400,1
a6,06:00:00,24:00:00,32400,1
a7,06:00:00,24:00:00,32400,1
a8,06:00:00,24:00:00,16200,1
a9,06:00:00,24:00:00,8100,1
aa,06:00:00,24:00:00,16200,1
ab,06:00:00,24:00:00,16200,1
ac,06:00:00,24:00:00,16200,1
ad,06:00:00,24:00:00,8100,1
ae,06:00:00,24:00:00,16200,1
af,06:00:00,24:00:00,8100,1
ag,06:00:00,24:00:00,16200,1
ah,06:00:00,24:00:00,8100,1
ai,06:00:00,24:00:00,8100,1
aj,06:00:00,24:00:00,16200,1
ak,06:00:00,24:00:00,16200,1
al,06:00:00,24:00:00,16200,1
am,06:00:00,24:00:00,8100,1
an,06:00:00,24:00:00,16200,1
ao,06:00:00,24:00:00,8100,1
ap,06:00:00,24:00:00,16200,1
aq,06:00:00,24:00:00,16200,1
ar,06:00:00,24:00:00,8100,1
as,06:00:00,24:00:00,8100,1
at,06:00:00,24:00:00,16200,1
au,06:00:00,24:00:00,16200,1
av,06:00:00,24:00:00,16200,1
aw,06:00:00,24:00:00,8100,1
ax,06:00:00,24:00:00,8100,1
ay,06:00:00,24:00:00,32400,1
az,06:00:00,24:00:00,16200,1
b,06:00:00,24:00:00,16200,1
b0,06:00:00,24:00:00,16200,1
b1,06:00:00,24:00:00,16200,1
b2,06:00:00,24:00:00,16200,1
b3,06:00:00,24:00:00,16200,1
b4,06:00:00,24:00:00,16200,1
b5,06:00:00,24:00:00,16200,1
b6,06:00:00,24:00:00,16200,1
b7,06:00:00,24:00:00,16200,1
b8,06:00:00,24:00:00,16200,1
b9,06:00:00,24:00:00,16200,1
ba,06:00:00,24:00:00,16200,1
bb,06:00:00,24:00:00,8100,1
bc,06:00:00,24:00:00,16200,1
bd,06:00:00,24:00:00,16200,1
be,06:00:00,24:00:00,16200,1
bf,06:00:00,24:00:00,16200,1
bg,06:00:00,24:00:00,32400,1
bh,06:00:00,24:00:00,16200,1
bi,06:00:00,24:00:00,16200,1
bj,06:00:00,24:00:00,16200,1
bk,06:00:00,24:00:00,16200,1
bl,06:00:00,24:00:00,16200,1
bm,06:00:00,24:00:00,16200,1
bn,06:00:00,24:00:00,8100,1
bo,06:00:00,24:00:00,32400,1
bp,06:00:00,24:00:00,16200,1
bq,06:00:00,24:00:00,8100,1
br,06:00:00,24:00:00,16200,1
bs,06:00:00,24:00:00,16200,1
bt,06:00:00,24:00:00,32400,1
bu,06:00:00,24:00:00,16200,1
bv,06:00:00,24:00:00,16200,1
bw,06:00:00,24:00:00,8100,1
bx,06:00:00,24:00:00,16200,1
by,06:00:00,24:00:00,8100,1
bz,06:00:00,24:00:00,16200,1
c,06:00:00,24:00:00,16200,1
c0,06:00:00,24:00:00,16200,1
c1,06:00:00,24:00:00,8100,1
c2,06:00:00,24:00:00,16200,1
c3,06:00:00,24:00:00,16200,1
c4,06:00:00,24:00:00,16200,1
c5,06:00:00,24:00:00,16200,1
c6,06:00:00,24:00:00,32400,1
c7,06:00:00,24:00:00,16200,1
c8,06:00:00,24:00:00,16200,1
c9,06:00:00,24:00:00,32400,1
ca,06:00:00,24:00:00,16200,1
cb,06:00:00,24:00:00,16200,1
cc,06:00:00,24:00:00,16200,1
cd,06:00:00,24:00:00,16200,1
ce,06:00:00,24:00:00,32400,1
cf,06:00:00,24:00:00,16200,1
cg,06:00:00,24:00:00,16200,1
ch,06:00:00,24:00:00,32400,1
ci,06:00:00,24:00:00,8100,1
cj,06:00:00,24:00:00,16200,1
ck,06:00:00,24:00:00,8100,1
cl,06:00:00,24:00:00,16200,1
cm,06:00:00,24:00:00,16200,1
cn,06:00:00,24:00:00,16200,1
co,06:00:00,24:00:00,16200,1
cp,06:00:00,24:00:00,16200,1
cq,06:00:00,24:00:00,32400,1
cr,06:00:00,24:00:00,16200,1
cs,06:00:00,24:00:00,16200,1
ct,06:00:00,24:00:00,16200,1
cu,06:00:00,24:00:00,32400,1
cv,06:00:00,24:00:00,16200,1
cw,06:00:00,24:00:00,16200,1
cx,06:00:00,24:00:00,32400,1
cy,06:00:00,24:00:00,16200,1
cz,06:00:00,24:00:00,8100,1
d,06:00:00,24:00:00,16200,1
d0,06:00:00,24:00:00,16200,1
d1,06:00:00,24:00:00,32400,1
d2,06:00:00,24:00:00,16200,1
d3,06:00:00,24:00:00,16200,1
d4,06:00:00,24:00:00,16200,1
d5,06:00:00,24:00:00,32400,1
d6,06:00:00,24:00:00,16200,1
d7,06:00:00,24:00:00,16200,1
d8,06:00:00,24:00:00,16200,1
d9,06:00:00,24:00:00,16200,1
da,06:00:00,24:00:00,16200,1
db,06:00:00,24:00:00,8100,1
dc,06:00:00,24:00:00,16200,1
dd,06:00:00,24:00:00,8100,1
de,06:00:00,24:00:00,8100,1
df,06:00:00,24:00:00,32400,1
dg,06:00:00,24:00:00,16200,1
dh,06:00:00,24:00:00,16200,1
di,06:00:00,24:00:00,16200,1
dj,06:00:00,24:00:00,16200,1
dk,06:00:00,24:00:00,16200,1
dl,06:00:00,24:00:00,32400,1
dm,06:00:00,24:00:00,16200,1
dn,06:00:00,24:00:00,8100,1
do,06:00:00,24:00:00,16200,1
dp,06:00:00,24:00:00,16200,1
dq,06:00:00,24:00:00,16200,1
dr,06:00:00,24:00:00,32400,1
ds,06:00:00,24:00:00,16200,1
dt,06:00:00,24:00:00,16200,1
du,06:00:00,24:00:00,8100,1
dv,06:00:00,24:00:00,16200,1
dw,06:00:00,24:00:00,32400,1
dx,06:00:00,24:00:00,16200,1
dy,06:00:00,24:00:00,16200,1
dz,06:00:00,24:00:00,16200,1
e,06:00:00,24:00:00,16200,1
e0,06:00:00,24:00:00,8100,1
e1,06:00:00,24:00:00,16200,1
e2,06:00:00,24:00:00,16200,1
e3,06:00:00,24:00:00,32400,1
e4,06:00:00,24:00:00,16200,1
e5,06:00:00,24:00:00,32400,1
e6,06:00:00,24:00:00,16200,1
e7,06:00:00,24:00:00,16200,1
e8,06:00:00,24:00:00,16200,1
e9,06:00:00,24:00:00,32400,1
ea,06:00:00,24:00:00,16200,1
eb,06:00:00,24:00:00,16200,1
ec,06:00:00,24:00:00,32400,1
ed,06:00:00,24:00:00,16200,1
ee,06:00:00,24:00:00,16200,1
ef,06:00:00,24:00:00,16200,1
eg,06:00:00,24:00:00,16200,1
eh,06:00:00,24:00:00,16200,1
ei,06:00:00,24:00:00,32400,1
ej,06:00:00,24:00:00,32400,1
ek,06:00:00,24:00:00,16200,1
el,06:00:00,24:00:00,16200,1
em,06:00:00,24:00:00,16200,1
en,06:00:00,24:00:00,32400,1
eo,06:00:00,24:00:00,32400,1
ep,06:00:00,24:00:00,32400,1
eq,06:00:00,24:00:00,32400,1
er,06:00:00,24:00:00,16200,1
es,06:00:00,24:00:00,16200,1
et,06:00:00,24:00:00,16200,1
eu,06:00:00,24:00:00,32400,1
ev,06:00:00,24:00:00,16200,1
ew,06:00:00,24:00:00,32400,1
ex,06:00:00,24:00:00,32400,1
ey,06:00:00,24:00:00,16200,1
ez,06:00:00,24:00:00,32400,1
f,06:00:00,24:00:00,16200,1
f0,06:00:00,24:00:00,16200,1
f1,06:00:00,24:00:00,16200,1
f2,06:00:00,24:00:00,16200,1
f3,06:00:00,24:00:00,16200,1
f4,06:00:00,24:00:00,32400,1
f5,06:00:00,24:00:00,16200,1
f6,06:00:00,24:00:00,16200,1
f7,06:00:00,24:00:00,16200,1
f8,06:00:00,24:00:00,16200,1
f9,06:00:00,24:00:00,16200,1
fa,06:00:00,24:00:00,16200,1
fb,06:00:00,24:00:00,16200,1
fc,06:00:00,24:00:00,16200,1
fd,06:00:00,24:00:00,16200,1
fe,06:00:00,24:00:00,16200,1
ff,06:00:00,24:00:00,16200,1
fg,06:00:00,24:00:00,8100,1
fh,06:00:00,24:00:00,32400,1
fi,06:00:00,24:00:00,16200,1
fj,06:00:00,24:00:00,32400,1
fk,06:00:00,24:00:00,16200,1
fl,06:00:00,24:00:00,16200,1
fm,06:00:00,24:00:00,16200,1
fn,06:00:00,24:00:00,8100,1
fo,06:00:00,24:00:00,16200,1
fp,06:00:00,24:00:00,16200,1
fq,06:00:00,24:00:00,16200,1
fr,06:00:00,24:00:00,16200,1
fs,06:00:00,24:00:00,16200,1
ft,06:00:00,24:00:00,16200,1
fu,06:00:00,24:00:00,16200,1
fv,06:00:00,24:00:00,16200,1
fw,06:00:00,24:00:00,32400,1
fx,06:00:00,24:00:00,32400,1
fy,06:00:00,24:00:00,16200,1
fz,06:00:00,24:00:00,16200,1
g,06:00:00,24:00:00,32400,1
g0,06:00:00,24:00:00,32400,1
g1,06:00:00,24:00:00,32400,1
g2,06:00:00,24:00:00,16200,1
g3,06:00:00,24:00:00,16200,1
g4,06:00:00,24:00:00,32400,1
g5,06:00:00,24:00:00,16200,1
g6,06:00:00,24:00:00,16200,1
g7,06:00:00,24:00:00,16200,1
g8,06:00:00,24:00:00,16200,1
g9,06:00:00,24:00:00,16200,1
ga,06:00:00,24:00:00,16200,1
gb,06:00:00,24:00:00,32400,1
gc,06:00:00,24:00:00,16200,1
gd,06:00:00,24:00:00,32400,1
ge,06:00:00,24:00:00,16200,1
gf,06:00:00,24:00:00,16200,1
gg,06:00:00,24:00:00,16200,1
gh,06:00:00,24:00:00,16200,1
gi,06:00:00,24:00:00,16200,1
gj,06:00:00,24:00:00,16200,1
gk,06:00:00,24:00:00,16200,1
gl,06:00:00,24:00:00,16200,1
gm,06:00:00,24:00:00,16200,1
gn,06:00:00,24:00:00,16200,1
go,06:00:00,24:00:00,16200,1
gp,06:00:00,24:00:00,16200,1
gq,06:00:00,24:00:00,16200,1
gr,06:00:00,24:00:00,8100,1
gs,06:00:00,24:00:00,16200,1
gt,06:00:00,24:00:00,16200,1
gu,06:00:00,24:00:00,16200,1
gv,06:00:00,24:00:00,16200,1
gw,06:00:00,24:00:00,16200,1
gx,06:00:00,24:00:00,16200,1
gy,06:00:00,24:00:00,16200,1
gz,06:00:00,24:00:00,16200,1
h,06:00:00,24:00:00,32400,1
h0,06:00:00,24:00:00,8100,1
h1,06:00:00,24:00:00,16200,1
h2,06:00:00,24:00:00,8100,1
h3,06:00:00,24:00:00,16200,1
h4,06:00:00,24:00:00,16200,1
h5,06:00:00,24:00:00,16200,1
h6,06:00:00,24:00:00,16200,1
h7,06:00:00,24:00:00,16200,1
h8,06:00:00,24:00:00,16200,1
h9,06:00:00,24:00:00,16200,1
ha,06:00:00,24:00:00,32400,1
hb,06:00:00,24:00:00,16200,1
hc,06:00:00,24:00:00,16200,1
hd,06:00:00,24:00:00,16200,1
he,06:00:00,24:00:00,16200,1
hf,06:00:00,24:00:00,16200,1
hg,06:00:00,24:00:00,16200,1
hh,06:00:00,24:00:00,16200,1
hi,06:00:00,24:00:00,32400,1
hj,06:00:00,24:00:00,16200,1
hk,06:00:00,24:00:00,16200,1
hl,06:00:00,24:00:00,16200,1
hm,06:00:00,24:00:00,16200,1
hn,06:00:00,24:00:00,16200,1
ho,06:00:00,24:00:00,16200,1
hp,06:00:00,24:00:00,16200,1
hq,06:00:00,24:00:00,16200,1
hr,06:00:00,24:00:00,32400,1
hs,06:00:00,24:00:00,16200,1
ht,06:00:00,24:00:00,16200,1
hu,06:00:00,24:00:00,16200,1
hv,06:00:00,24:00:00,16200,1
hw,06:00:00,24:00:00,32400,1
hx,06:00:00,24:00:00,16200,1
hy,06:00:00,24:00:00,16200,1
hz,06:00:00,24:00:00,32400,1
i,06:00:00,24:00:00,16200,1
i0,06:00:00,24:00:00,32400,1
i1,06:00:00,24:00:00,16200,1
i2,06:00:00,24:00:00,16200,1
i3,06:00:00,24:00:00,16200,1
i4,06:00:00,24:00:00,16200,1
i5,06:00:00,24:00:00,16200,1
i6,06:00:00,24:00:00,16200,1
i7,06:00:00,24:00:00,32400,1
i8,06:00:00,24:00:00,16200,1
i9,06:00:00,24:00:00,16200,1
ia,06:00:00,24:00:00,16200,1
ib,06:00:00,24:00:00,16200,1
ic,06:00:00,24:00:00,16200,1
id,06:00:00,24:00:00,16200,1
ie,06:00:00,24:00:00,16200,1
if,06:00:00,24:00:00,32400,1
ig,06:00:00,24:00:00,16200,1
ih,06:00:00,24:00:00,32400,1
ii,06:00:00,24:00:00,16200,1
ij,06:00:00,24:00:00,32400,1
ik,06:00:00,24:00:00,16200,1
il,06:00:00,24:00:00,32400,1
im,06:00:00,24:00:00,32400,1
in,06:00:00,24:00:00,16200,1
io,06:00:00,24:00:00,16200,1
ip,06:00:00,24:00:00,32400,1
iq,06:00:00,24:00:00,32400,1
ir,06:00:00,24:00:00,32400,1
is,06:00:00,24:00:00,16200,1
it,06:00:00,24:00:00,16200,1
iu,06:00:00,24:00:00,16200,1
iv,06:00:00,24:00:00,16200,1
iw,06:00:00,24:00:00,16200,1
ix,06:00:00,24:00:00,16200,1
iy,06:00:00,24:00:00,16200,1
iz,06:00:00,24:00:00,16200,1
j,06:00:00,24:00:00,32400,1
j0,06:00:00,24:00:00,16200,1
j1,06:00:00,24:00:00,16200,1
j2,06:00:00,24:00:00,32400,1
j3,06:00:00,24:00:00,32400,1
j4,06:00:00,24:00:00,32400,1
j5,06:00:00,24:00:00,32400,1
j6,06:00:00,24:00:00,32400,1
j7,06:00:00,24:00:00,32400,1
j8,06:00:00,24:00:00,32400,1
j9,06:00:00,24:00:00,16200,1
ja,06:00:00,24:00:00,16200,1
jb,06:00:00,24:00:00,8100,1
jc,06:00:00,24:00:00,32400,1
jd,06:00:00,24:00:00,16200,1
je,06:00:00,24:00:00,32400,1
jf,06:00:00,24:00:00,32400,1
jg,06:00:00,24:00:00,8100,1
jh,06:00:00,24:00:00,32400,1
ji,06:00:00,24:00:00,16200,1
jj,06:00:00,24:00:00,16200,1
jk,06:00:00,24:00:00,32400,1
jl,06:00:00,24:00:00,32400,1
jm,06:00:00,24:00:00,32400,1
jn,06:00:00,24:00:00,16200,1
jo,06:00:00,24:00:00,32400,1
jp,06:00:00,24:00:00,32400,1
jq,06:00:00,24:00:00,16200,1
jr,06:00:00,24:00:00,32400,1
js,06:00:00,24:00:00,16200,1
jt,06:00:00,24:00:00,32400,1
ju,06:00:00,24:00:00,32400,1
jv,06:00:00,24:00:00,16200,1
jw,06:00:00,24:00:00,32400,1
jx,06:00:00,24:00:00,32400,1
jy,06:00:00,24:00:00,16200,1
jz,06:00:00,24:00:00,16200,1
k,06:00:00,24:00:00,32400,1
k0,06:00:00,24:00:00,16200,1
