trip_id,arrival_time,departure_time,stop_id,stop_sequence
2t,07:54:56,07:54:56,k,2
kf,06:00:00,06:00:00,5,1
kf,09:57:36,09:57:36,d,2
w,06:00:00,06:00:00,8,1
w,07:33:47,07:33:47,a,2
6p,06:00:00,06:00:00,q,1
6p,08:08:47,08:08:47,t,2
9s,06:00:00,06:00:00,s,1
9s,07:22:14,07:22:14,j,2
5w,06:00:00,06:00:00,r,1
5w,08:02:47,08:02:47,u,2
hq,06:00:00,06:00:00,n,1
hq,08:50:32,08:50:32,k,2
d8,06:00:00,06:00:00,6,1
d8,10:14:45,10:14:45,p,2
i9,06:00:00,06:00:00,f,1
i9,08:17:01,08:17:01,4,2
6,06:00:00,06:00:00,a,1
6,08:53:29,08:53:29,i,2
eq,06:00:00,06:00:00,5,1
eq,11:15:20,11:15:20,1,2
28,06:00:00,06:00:00,a,1
28,07:35:52,07:35:52,d,2
7q,06:00:00,06:00:00,m,1
7q,08:18:05,08:18:05,g,2
79,06:00:00,06:00:00,e,1
79,08:46:43,08:46:43,a,2
hp,06:00:00,06:00:00,l,1
hp,07:56:04,07:56:04,h,2
27,06:00:00,06:00:00,8,1
27,06:56:02,06:56:02,h,2
1j,06:00:00,06:00:00,k,1
1j,08:21:59,08:21:59,i,2
af,06:00:00,06:00:00,k,1
af,07:16:31,07:16:31,7,2
dv,06:00:00,06:00:00,9,1
dv,07:33:53,07:33:53,a,2
7l,06:00:00,06:00:00,c,1
7l,09:14:22,09:14:22,2,2
7a,06:00:00,06:00:00,4,1
7a,07:56:24,07:56:24,q,2
gb,06:00:00,06:00:00,u,1
gb,07:50:26,07:50:26,2,2
2m,06:00:00,06:00:00,l,1
2m,07:06:13,07:06:13,m,2
ie,06:00:00,06:00:00,n,1
ie,07:44:33,07:44:33,l,2
3a,06:00:00,06:00:00,j,1
3a,07:08:17,07:08:17,r,2
5g,06:00:00,06:00:00,5,1
5g,06:38:47,06:38:47,6,2
2p,06:00:00,06:00:00,g,1
2p,07:03:19,07:03:19,r,2
4r,06:00:00,06:00:00,i,1
4r,08:17:19,08:17:19,o,2
q,06:00:00,06:00:00,p,1
q,08:13:51,08:13:51,f,2
i6,06:00:00,06:00:00,m,1
i6,08:41:16,08:41:16,j,2
fp,06:00:00,06:00:00,r,1
fp,06:49:33,06:49:33,t,2
ea,06:00:00,06:00:00,8,1
ea,08:25:26,08:25:26,q,2
cj,06:00:00,06:00:00,g,1
cj,07:19:09,07:19:09,b,2
fg,06:00:00,06:00:00,f,1
fg,08:28:34,08:28:34,b,2
bb,06:00:00,06:00:00,o,1
bb,10:05:54,10:05:54,5,2
2b,06:00:00,06:00:00,m,1
2b,08:19:32,08:19:32,4,2
kn,06:00:00,06:00:00,7,1
kn,06:50:50,06:50:50,j,2
fs,06:00:00,06:00:00,o,1
fs,08:25:39,08:25:39,n,2
as,06:00:00,06:00:00,r,1
as,07:15:14,07:15:14,7,2
i3,06:00:00,06:00:00,o,1
i3,08:15:25,08:15:25,3,2
6s,06:00:00,06:00:00,s,1
6s,06:41:49,06:41:49,4,2
js,06:00:00,06:00:00,1,1
js,07:43:28,07:43:28,h,2
aw,06:00:00,06:00:00,j,1
aw,07:33:55,07:33:55,8,2
8t,06:00:00,06:00:00,n,1
8t,08:39:15,08:39:15,r,2
dd,06:00:00,06:00:00,l,1
dd,06:45:08,06:45:08,f,2
ez,06:00:00,06:00:00,o,1
ez,08:20:39,08:20:39,q,2
5f,06:00:00,06:00:00,r,1
5f,07:15:12,07:15:12,4,2
6k,06:00:00,06:00:00,u,1
6k,08:37:41,08:37:41,7,2
1t,06:00:00,06:00:00,n,1
1t,10:14:52,10:14:52,q,2
n,06:00:00,06:00:00,c,1
n,07:23:11,07:23:11,f,2
gt,06:00:00,06:00:00,r,1
gt,07:19:28,07:19:28,a,2
hd,06:00:00,06:00:00,8,1
hd,06:59:27,06:59:27,g,2
8b,06:00:00,06:00:00,n,1
8b,08:48:28,08:48:28,4,2
ai,06:00:00,06:00:00,l,1
ai,08:11:51,08:11:51,j,2
8z,06:00:00,06:00:00,a,1
8z,08:34:11,08:34:11,f,2
el,06:00:00,06:00:00,g,1
el,07:07:38,07:07:38,h,2
5p,06:00:00,06:00:00,a,1
5p,06:55:41,06:55:41,1,2
6c,06:00:00,06:00:00,7,1
6c,08:45:26,08:45:26,m,2
2l,06:00:00,06:00:00,7,1
2l,08:19:19,08:19:19,f,2
dx,06:00:00,06:00:00,3,1
dx,07:22:03,07:22:03,r,2
3d,06:00:00,06:00:00,s,1
3d,07:17:29,07:17:29,a,2
jr,06:00:00,06:00:00,s,1
jr,08:06:34,08:06:34,q,2
9h,06:00:00,06:00:00,d,1
9h,07:35:52,07:35:52,a,2
a,06:00:00,06:00:00,i,1
a,09:42:08,09:42:08,9,2
co,06:00:00,06:00:00,u,1
co,07:51:30,07:51:30,k,2
3w,06:00:00,06:00:00,l,1
3w,07:58:55,07:58:55,p,2
e5,06:00:00,06:00:00,i,1
e5,06:56:36,06:56:36,m,2
jw,06:00:00,06:00:00,j,1
jw,06:49:50,06:49:50,t,2
93,06:00:00,06:00:00,4,1
93,07:06:30,07:06:30,b,2
4m,06:00:00,06:00:00,m,1
4m,06:56:36,06:56:36,i,2
7x,06:00:00,06:00:00,f,1
7x,08:01:10,08:01:10,t,2
iu,06:00:00,06:00:00,k,1
iu,07:00:27,07:00:27,j,2
go,06:00:00,06:00:00,i,1
go,08:19:21,08:19:21,s,2
g4,06:00:00,06:00:00,9,1
g4,08:13:44,08:13:44,d,2
cn,06:00:00,06:00:00,j,1
cn,07:44:58,07:44:58,p,2
4l,06:00:00,06:00:00,l,1
4l,07:31:57,07:31:57,d,2
98,06:00:00,06:00:00,9,1
98,09:57:02,09:57:02,n,2
29,06:00:00,06:00:00,p,1
29,09:30:35,09:30:35,e,2
bg,06:00:00,06:00:00,3,1
bg,08:35:48,08:35:48,b,2
fx,06:00:00,06:00:00,r,1
fx,08:32:57,08:32:57,e,2
dm,06:00:00,06:00:00,r,1
dm,07:41:13,07:41:13,1,2
di,06:00:00,06:00:00,l,1
di,08:23:16,08:23:16,a,2
2,06:00:00,06:00:00,2,1
2,06:55:28,06:55:28,g,2
d2,06:00:00,06:00:00,4,1
d2,07:41:18,07:41:18,9,2
2s,06:00:00,06:00:00,k,1
2s,06:44:09,06:44:09,g,2
8w,06:00:00,06:00:00,9,1
8w,07:08:13,07:08:13,1,2
ch,06:00:00,06:00:00,p,1
ch,07:05:17,07:05:17,u,2
3u,06:00:00,06:00:00,s,1
3u,10:22:07,10:22:07,6,2
g2,06:00:00,06:00:00,5,1
g2,08:10:20,08:10:20,n,2
7i,06:00:00,06:00:00,o,1
7i,08:03:46,08:03:46,7,2
4g,06:00:00,06:00:00,e,1
4g,09:00:15,09:00:15,g,2
4o,06:00:00,06:00:00,e,1
4o,08:23:49,08:23:49,t,2
e1,06:00:00,06:00:00,q,1
e1,08:25:26,08:25:26,8,2
c5,06:00:00,06:00:00,u,1
c5,07:28:52,07:28:52,8,2
dk,06:00:00,06:00:00,l,1
dk,07:33:30,07:33:30,3,2
37,06:00:00,06:00:00,d,1
37,08:27:57,08:27:57,q,2
b,06:00:00,06:00:00,9,1
b,10:02:24,10:02:24,c,2
4e,06:00:00,06:00:00,c,1
4e,08:39:53,08:39:53,p,2
55,06:00:00,06:00:00,9,1
55,07:24:20,07:24:20,2,2
b2,06:00:00,06:00:00,r,1
b2,07:29:06,07:29:06,h,2
1f,06:00:00,06:00:00,9,1
1f,09:26:56,09:26:56,f,2
g7,06:00:00,06:00:00,l,1
g7,08:21:23,08:21:23,u,2
gy,06:00:00,06:00:00,4,1
gy,09:13:37,09:13:37,e,2
ct,06:00:00,06:00:00,s,1
ct,07:14:46,07:14:46,t,2
d3,06:00:00,06:00:00,t,1
d3,07:30:44,07:30:44,1,2
a6,06:00:00,06:00:00,n,1
a6,09:17:08,09:17:08,j,2
33,06:00:00,06:00:00,i,1
33,08:53:29,08:53:29,a,2
dl,06:00:00,06:00:00,4,1
dl,07:26:15,07:26:15,u,2
gj,06:00:00,06:00:00,3,1
gj,07:51:37,07:51:37,d,2
iq,06:00:00,06:00:00,7,1
iq,08:18:14,08:18:14,b,2
kd,06:00:00,06:00:00,c,1
kd,09:08:42,09:08:42,j,2
hg,06:00:00,06:00:00,o,1
hg,08:01:08,08:01:08,m,2
y,06:00:00,06:00:00,h,1
y,09:32:00,09:32:00,e,2
t,06:00:00,06:00:00,f,1
t,06:45:08,06:45:08,l,2
it,06:00:00,06:00:00,1,1
it,09:35:21,09:35:21,c,2
ha,06:00:00,06:00:00,e,1
ha,09:29:28,09:29:28,o,2
jf,06:00:00,06:00:00,o,1
jf,07:06:20,07:06:20,g,2
6n,06:00:00,06:00:00,9,1
6n,07:59:49,07:59:49,h,2
g1,06:00:00,06:00:00,6,1
g1,10:16:21,10:16:21,3,2
1d,06:00:00,06:00:00,i,1
1d,06:53:52,06:53:52,f,2
i5,06:00:00,06:00:00,i,1
i5,07:56:42,07:56:42,3,2
3e,06:00:00,06:00:00,2,1
3e,09:14:49,09:14:49,n,2
9z,06:00:00,06:00:00,f,1
9z,08:21:00,08:21:00,j,2
7d,06:00:00,06:00:00,f,1
7d,08:10:38,08:10:38,g,2
bh,06:00:00,06:00:00,e,1
bh,08:52:50,08:52:50,l,2
z,06:00:00,06:00:00,c,1
z,08:21:26,08:21:26,8,2
bm,06:00:00,06:00:00,3,1
bm,07:41:51,07:41:51,k,2
kr,06:00:00,06:00:00,d,1
kr,08:13:44,08:13:44,9,2
g8,06:00:00,06:00:00,h,1
g8,08:05:37,08:05:37,7,2
96,06:00:00,06:00:00,5,1
96,10:29:14,10:29:14,g,2
41,06:00:00,06:00:00,t,1
41,06:52:25,06:52:25,k,2
ir,06:00:00,06:00:00,i,1
ir,08:23:32,08:23:32,p,2
3f,06:00:00,06:00:00,c,1
3f,09:18:26,09:18:26,a,2
ff,06:00:00,06:00:00,8,1
ff,08:20:14,08:20:14,n,2
ga,06:00:00,06:00:00,u,1
ga,08:31:51,08:31:51,q,2
1g,06:00:00,06:00:00,u,1
1g,08:19:03,08:19:03,m,2
kl,06:00:00,06:00:00,p,1
kl,08:07:38,08:07:38,m,2
68,06:00:00,06:00:00,m,1
68,07:08:27,07:08:27,n,2
im,06:00:00,06:00:00,b,1
im,07:45:29,07:45:29,r,2
gv,06:00:00,06:00:00,4,1
gv,06:57:21,06:57:21,o,2
r,06:00:00,06:00:00,s,1
r,07:26:34,07:26:34,1,2
au,06:00:00,06:00:00,m,1
au,09:45:06,09:45:06,q,2
bp,06:00:00,06:00:00,2,1
bp,07:25:54,07:25:54,h,2
fc,06:00:00,06:00:00,t,1
fc,10:38:49,10:38:49,6,2
dq,06:00:00,06:00:00,1,1
dq,08:03:06,08:03:06,u,2
cm,06:00:00,06:00:00,o,1
cm,07:06:20,07:06:20,u,2
5k,06:00:00,06:00:00,6,1
5k,08:50:18,08:50:18,i,2
85,06:00:00,06:00:00,8,1
85,07:47:37,07:47:37,7,2
8c,06:00:00,06:00:00,1,1
8c,09:35:23,09:35:23,n,2
8g,06:00:00,06:00:00,k,1
8g,07:51:30,07:51:30,u,2
78,06:00:00,06:00:00,s,1
78,07:51:17,07:51:17,l,2
1e,06:00:00,06:00:00,a,1
1e,07:33:53,07:33:53,9,2
e9,06:00:00,06:00:00,j,1
e9,08:26:40,08:26:40,e,2
1y,06:00:00,06:00:00,k,1
1y,07:19:06,07:19:06,h,2
dn,06:00:00,06:00:00,7,1
dn,07:15:14,07:15:14,r,2
2e,06:00:00,06:00:00,8,1
2e,07:45:16,07:45:16,1,2
ey,06:00:00,06:00:00,3,1
ey,09:02:54,09:02:54,9,2
32,06:00:00,06:00:00,j,1
32,07:51:31,07:51:31,q,2
jn,06:00:00,06:00:00,9,1
jn,07:46:18,07:46:18,g,2
dh,06:00:00,06:00:00,t,1
dh,08:58:46,08:58:46,n,2
d7,06:00:00,06:00:00,2,1
d7,07:27:33,07:27:33,7,2
hf,06:00:00,06:00:00,4,1
hf,07:13:21,07:13:21,a,2
92,06:00:00,06:00:00,3,1
92,07:40:12,07:40:12,j,2
gw,06:00:00,06:00:00,6,1
gw,10:32:54,10:32:54,k,2
do,06:00:00,06:00:00,f,1
do,09:26:56,09:26:56,9,2
kj,06:00:00,06:00:00,7,1
kj,08:37:41,08:37:41,u,2
jp,06:00:00,06:00:00,s,1
jp,10:18:47,10:18:47,5,2
d,06:00:00,06:00:00,2,1
d,07:06:08,07:06:08,s,2
h9,06:00:00,06:00:00,r,1
h9,10:19:41,10:19:41,6,2
be,06:00:00,06:00:00,4,1
be,06:43:22,06:43:22,g,2
fo,06:00:00,06:00:00,5,1
fo,10:09:50,10:09:50,u,2
ay,06:00:00,06:00:00,p,1
ay,07:58:55,07:58:55,l,2
9y,06:00:00,06:00:00,r,1
9y,08:30:35,08:30:35,c,2
hl,06:00:00,06:00:00,a,1
hl,08:23:16,08:23:16,l,2
jh,06:00:00,06:00:00,i,1
jh,08:04:31,08:04:31,r,2
dj,06:00:00,06:00:00,b,1
dj,07:14:05,07:14:05,8,2
19,06:00:00,06:00:00,s,1
19,07:06:08,07:06:08,2,2
gk,06:00:00,06:00:00,9,1
gk,08:16:14,08:16:14,r,2
5x,06:00:00,06:00:00,7,1
5x,07:39:21,07:39:21,s,2
76,06:00:00,06:00:00,c,1
76,07:05:15,07:05:15,n,2
8y,06:00:00,06:00:00,j,1
8y,07:06:44,07:06:44,2,2
95,06:00:00,06:00:00,c,1
95,08:49:07,08:49:07,t,2
6a,06:00:00,06:00:00,2,1
6a,10:54:36,10:54:36,5,2
f2,06:00:00,06:00:00,t,1
f2,07:05:58,07:05:58,a,2
b3,06:00:00,06:00:00,k,1
b3,10:32:54,10:32:54,6,2
k1,06:00:00,06:00:00,d,1
k1,07:47:44,07:47:44,1,2
ag,06:00:00,06:00:00,k,1
ag,06:51:25,06:51:25,r,2
80,06:00:00,06:00:00,m,1
80,08:46:44,08:46:44,6,2
77,06:00:00,06:00:00,e,1
77,09:47:10,09:47:10,9,2
gu,06:00:00,06:00:00,8,1
gu,07:49:50,07:49:50,m,2
7g,06:00:00,06:00:00,d,1
7g,07:46:31,07:46:31,f,2
3i,06:00:00,06:00:00,f,1
3i,07:46:31,07:46:31,d,2
kb,06:00:00,06:00:00,o,1
kb,07:43:48,07:43:48,1,2
1p,06:00:00,06:00:00,9,1
1p,08:01:23,08:01:23,o,2
e2,06:00:00,06:00:00,m,1
e2,07:06:13,07:06:13,l,2
9u,06:00:00,06:00:00,g,1
9u,06:59:27,06:59:27,8,2
2n,06:00:00,06:00:00,b,1
2n,06:49:52,06:49:52,u,2
h,06:00:00,06:00:00,i,1
h,08:21:59,08:21:59,k,2
io,06:00:00,06:00:00,t,1
io,08:13:35,08:13:35,u,2
2c,06:00:00,06:00:00,c,1
2c,07:02:14,07:02:14,m,2
k3,06:00:00,06:00:00,t,1
k3,07:19:48,07:19:48,4,2
ip,06:00:00,06:00:00,6,1
ip,10:57:59,10:57:59,j,2
bz,06:00:00,06:00:00,a,1
bz,07:05:09,07:05:09,g,2
b8,06:00:00,06:00:00,q,1
b8,07:31:54,07:31:54,2,2
6o,06:00:00,06:00:00,k,1
6o,08:03:54,08:03:54,f,2
hc,06:00:00,06:00:00,h,1
hc,06:57:29,06:57:29,d,2
ji,06:00:00,06:00:00,3,1
ji,07:24:43,07:24:43,t,2
b9,06:00:00,06:00:00,h,1
b9,08:11:07,08:11:07,f,2
hs,06:00:00,06:00:00,g,1
hs,06:44:09,06:44:09,k,2
8j,06:00:00,06:00:00,l,1
8j,08:13:27,08:13:27,b,2
fk,06:00:00,06:00:00,g,1
fk,07:06:26,07:06:26,t,2
3b,06:00:00,06:00:00,m,1
3b,08:16:39,08:16:39,k,2
86,06:00:00,06:00:00,m,1
86,08:45:26,08:45:26,7,2
4i,06:00:00,06:00:00,7,1
4i,07:47:37,07:47:37,8,2
f7,06:00:00,06:00:00,k,1
f7,10:28:52,10:28:52,5,2
bt,06:00:00,06:00:00,u,1
bt,07:05:17,07:05:17,p,2
ed,06:00:00,06:00:00,p,1
ed,10:14:45,10:14:45,6,2
gr,06:00:00,06:00:00,d,1
gr,08:17:51,08:17:51,n,2
f5,06:00:00,06:00:00,h,1
f5,07:25:54,07:25:54,2,2
fi,06:00:00,06:00:00,g,1
fi,08:49:00,08:49:00,c,2
f,06:00:00,06:00:00,n,1
f,09:35:23,09:35:23,1,2
cg,06:00:00,06:00:00,m,1
cg,08:19:03,08:19:03,u,2
4y,06:00:00,06:00:00,b,1
4y,07:54:45,07:54:45,t,2
5n,06:00:00,06:00:00,r,1
5n,07:26:31,07:26:31,o,2
c2,06:00:00,06:00:00,l,1
c2,08:21:56,08:21:56,2,2
ar,06:00:00,06:00:00,t,1
ar,08:22:16,08:22:16,m,2
in,06:00:00,06:00:00,d,1
in,06:57:29,06:57:29,h,2
2z,06:00:00,06:00:00,r,1
2z,07:22:03,07:22:03,3,2
ik,06:00:00,06:00:00,9,1
ik,08:08:11,08:08:11,t,2
2j,06:00:00,06:00:00,6,1
2j,10:22:07,10:22:07,s,2
a0,06:00:00,06:00:00,j,1
a0,08:21:00,08:21:00,f,2
a1,06:00:00,06:00:00,a,1
a1,06:51:07,06:51:07,j,2
25,06:00:00,06:00:00,e,1
25,08:32:57,08:32:57,r,2
5z,06:00:00,06:00:00,m,1
5z,08:49:01,08:49:01,a,2
7m,06:00:00,06:00:00,f,1
7m,08:54:47,08:54:47,1,2
8h,06:00:00,06:00:00,3,1
8h,08:25:15,08:25:15,1,2
k7,06:00:00,06:00:00,9,1
k7,08:06:25,08:06:25,u,2
4u,06:00:00,06:00:00,9,1
4u,09:02:54,09:02:54,3,2
67,06:00:00,06:00:00,2,1
67,07:50:26,07:50:26,u,2
db,06:00:00,06:00:00,b,1
db,10:16:49,10:16:49,5,2
5e,06:00:00,06:00:00,m,1
5e,07:02:14,07:02:14,c,2
h6,06:00:00,06:00:00,e,1
h6,08:05:55,08:05:55,7,2
is,06:00:00,06:00:00,h,1
is,07:19:06,07:19:06,k,2
je,06:00:00,06:00:00,k,1
je,07:00:52,07:00:52,2,2
2d,06:00:00,06:00:00,n,1
2d,08:58:46,08:58:46,t,2
3x,06:00:00,06:00:00,t,1
3x,07:54:45,07:54:45,b,2
jg,06:00:00,06:00:00,7,1
jg,07:11:00,07:11:00,a,2
4w,06:00:00,06:00:00,q,1
4w,08:16:08,08:16:08,b,2
4k,06:00:00,06:00:00,9,1
4k,09:42:08,09:42:08,i,2
7p,06:00:00,06:00:00,9,1
7p,07:41:18,07:41:18,4,2
6r,06:00:00,06:00:00,u,1
6r,08:50:02,08:50:02,c,2
dr,06:00:00,06:00:00,u,1
dr,08:51:25,08:51:25,3,2
8f,06:00:00,06:00:00,1,1
8f,08:25:15,08:25:15,3,2
f8,06:00:00,06:00:00,l,1
f8,07:00:17,07:00:17,i,2
jv,06:00:00,06:00:00,j,1
jv,07:22:52,07:22:52,4,2
fj,06:00:00,06:00:00,b,1
fj,07:10:10,07:10:10,s,2
eu,06:00:00,06:00:00,p,1
eu,07:38:19,07:38:19,t,2
43,06:00:00,06:00:00,g,1
43,08:10:38,08:10:38,f,2
4v,06:00:00,06:00:00,f,1
4v,07:44:42,07:44:42,r,2
73,06:00:00,06:00:00,l,1
73,07:34:14,07:34:14,r,2
4z,06:00:00,06:00:00,r,1
4z,08:21:28,08:21:28,q,2
jx,06:00:00,06:00:00,j,1
jx,10:57:59,10:57:59,6,2
71,06:00:00,06:00:00,g,1
71,07:06:20,07:06:20,o,2
fr,06:00:00,06:00:00,7,1
fr,09:10:09,09:10:09,c,2
48,06:00:00,06:00:00,8,1
48,07:52:33,07:52:33,3,2
2k,06:00:00,06:00:00,g,1
2k,07:57:10,07:57:10,q,2
ae,06:00:00,06:00:00,a,1
ae,09:18:26,09:18:26,c,2
i2,06:00:00,06:00:00,h,1
i2,08:18:17,08:18:17,3,2
fu,06:00:00,06:00:00,g,1
fu,07:16:25,07:16:25,1,2
26,06:00:00,06:00:00,d,1
26,09:07:52,09:07:52,e,2
hu,06:00:00,06:00:00,2,1
